RP_AgeGrp,RP_Sex,RP_MarStat,RP_Educ,RP_EmpStat,RP_TotInc,SP_TotInc,HH_TotInc,ED002_C,HC001_C,RE001_C,TC001_C,TE001_C,
03,1,1,3,1,49050,51000,100050,7550,2500,952,47845.54,70497.7,
01,1,1,2,1,70000,44250,114250,180,3655,2487,45673,77619,
04,1,1,1,3,23500,28500,52000,0,1300,11978,33943,39343,
05,1,1,9,3,25000,31050,56050,0,0,1885,23930.91,26198.91,
06,1,1,1,3,35500,11000,46500,0,489,1624,23725,25630,
03,1,1,3,1,43000,43050,133150,3850,8235,120.07,81488.07,108605.07,
04,1,1,3,2,115000,43000,158000,0,80,396,64590.34,103950.34,
06,2,3,2,3,38300,0,38300,0,320,0,50606.28,55506.28,
05,2,1,1,3,9500,28500,38000,0,3600,972,16077,17902,
06,2,3,1,3,18000,0,18000,0,266,0,9746,9746,
04,1,1,3,1,90000,11000,101000,200,0,1198,20835,47626,
01,2,2,4,2,12700,0,12700,4050,698,160,15277,15465,
03,2,1,4,2,4700,230800,235500,10700,2931.5,2810,72629.78,170819.78,
01,2,2,3,2,32400,0,32400,0,1300,1839,29370.09,35408.09,
04,1,1,4,2,74200,1150,75350,250,2645,1822.05,48179.05,61056.05,
03,2,1,2,2,2550,77675,80225,0,1965,4467,55305,75924,
02,1,1,4,1,130050,38000,168050,6950,400,10832.02,80589.09,128170.09,
04,1,1,4,1,158500,2550,161050,150,850,1606.46,29085.76,80579.76,
05,1,1,3,2,48725,26400,75125,250,4129,397,29385,43335,
04,1,1,3,1,60000,42050,102050,0,2360,2761,44483.16,71973.16,
03,2,1,2,1,35000,23500,86950,0,1020,1001,50246.12,63841.12,
02,1,2,3,1,34675,0,70300,0,900,1060,35723,49968,
01,2,1,2,2,25500,40300,65800,1600,200,455,37754,42094,
03,2,1,4,1,62500,41000,103500,0,2700,1722,72382,104871,
03,2,1,2,1,30325,15750,46075,0,2450,600,24254,30263,
02,1,1,3,1,62500,24575,87075,0,2283,940,29679.23,42288.23,
04,2,1,9,2,65975,93750,246475,0,1615,7089.46,49848.19,100735.19,
04,1,1,4,1,15350,29000,116900,4650,4200,5232,75699.39,100196.39,
02,2,2,3,1,82400,0,88400,3450,650,1314,59401.98,77881.98,
02,1,1,4,1,87500,42000,129500,0,1475,5260.18,78171.46,118898.46,
04,2,1,4,1,167675,9975,185650,16200,6350,4240,91616,180521,
05,2,1,3,3,11000,232000,243000,0,1730,1176,18117,144261,
04,1,1,3,3,36700,43500,80200,0,3900,1840,51008.8,63303.8,
01,1,2,4,2,11025,0,11025,5640,174,140,15730,16256,
04,2,1,1,1,42850,30000,72850,0,2460,1367,18730,39022.43,
05,2,3,3,3,20200,0,20200,0,450,264,13820,14025,
01,2,2,2,2,34025,0,81225,7000,334.2,2860,46065.4,60554.4,
04,2,1,3,3,6500,39200,45700,0,810,1464,17153,23498,
01,2,2,2,2,13875,0,13875,14230,0,110.08,20204.08,21012.08,
03,2,2,3,2,48500,0,63250,4550,2561.2,945,60441,69756,
03,2,1,4,1,67500,25150,151450,9000,3565,3335,88949.6,119429.6,
05,1,3,3,3,55750,0,55750,0,940,708,11772,23472,
04,2,1,3,1,29800,15225,45025,0,0,1068,20449,28752,
03,1,2,1,2,18750,0,18750,0,0,10,7210,7742,
01,2,1,9,2,28000,58250,86250,0,1277.76,2120,50997.34,65637.34,
03,1,1,2,1,41800,51100,95300,4350,75,0,35818,58459,
02,1,2,9,1,115000,0,115000,300,4080,2872,46456.49,74875.49,
02,1,1,9,2,84050,14750,98800,4300,1765,1052,91584.48,114225.48,
02,2,1,4,1,72100,119050,191150,585,2820,19002,144597.4,187881.4,
04,2,1,2,2,40650,28500,69150,0,1685,4443.2,44545.2,58876.2,
02,2,1,4,1,46250,34000,80250,0,1365.3,1580,38184.62,62243.62,
06,2,3,1,3,23850,0,23850,0,360,948,60880.18,61285.25,
03,2,1,4,2,9700,8350,18050,0,5350,6608,44991.42,45526.42,
03,1,1,3,2,90900,120250,211150,500,3440.3,3680.42,76250.17,153130.17,
03,2,3,2,3,67000,0,67000,0,0,1328,85503.46,93053.46,
02,1,1,3,1,29000,35000,64000,0,2140,656,38596,48619.14,
04,1,1,9,1,80500,9500,90000,650,2650.41,3548,63832.73,76726.73,
06,2,3,1,3,23050,0,23050,0,3495,0,11384,11784,
01,2,1,4,2,29250,21000,69250,0,400,3030,63042.14,112162.14,
06,2,3,1,3,17500,0,17500,0,120,432,18512.21,19312.21,
03,1,1,2,1,190000,177500,367500,0,2405,39715,107634,217772,
01,2,1,2,3,20650,83700,104350,0,0,1428,75009.65,102657.65,
03,1,3,9,2,68150,0,68150,2400,4225,410,52383.15,75108.15,
05,2,1,3,3,5500,38050,43550,0,480,930,11429,16645,
03,1,1,2,1,60550,25500,86050,0,680.2,7768,36624.6,58702.6,
03,2,1,2,3,150,40450,40600,0,485,708,13830,17655,
06,2,3,2,3,181750,0,181750,0,13310.59,1008,27678.67,91483.67,
04,2,1,1,2,29450,15000,102450,0,160,3000,32839,44702,
06,1,1,1,3,45200,10300,55500,0,1138,3413.26,34654.26,39104.26,
01,2,2,2,1,38150,0,38150,0,2155,160,20610,28920,
02,2,2,4,1,82500,0,82500,0,40,1800,19982,49849,
03,2,1,4,2,18575,135050,171225,650,1515,12652.91,86679.04,130291.04,
03,1,1,4,1,105050,72975,178025,3800,210,11407.8,71090.8,131481.8,
02,2,2,1,3,23000,0,23000,0,0,684,16256,16256,
02,2,1,9,1,170975,91150,262125,1150,525,4826.67,76682.98,157243.75,
02,2,1,3,1,42000,37500,79500,10,720.3,4315,39533.3,53640.3,
03,1,2,2,2,6175,0,6175,950,420.29,1540.44,24536.73,25022.73,
04,1,1,2,3,34000,48600,92200,0,475,9063.2,92026.2,110203.2,
03,1,3,9,1,106750,0,106750,0,4575,16705.65,103177.13,133511.95,
05,2,1,1,3,26000,117000,143000,0,3395,2640,40574.05,71069.05,
02,2,1,9,1,81500,65000,146500,0,3580.69,825,53885.16,84083.16,
02,2,1,4,3,6000,87700,93700,550,870,1773,48999,80283,
02,1,1,1,1,36000,37250,73250,350,1505,2025,38897,56595,
02,2,1,3,3,30000,67050,97050,0,1230,612,41965,66019,
03,1,1,4,2,44725,111400,156125,950,1676,1380.5,98831.5,153685.5,
05,2,1,3,3,19700,29725,49425,0,2300.3,1416,21072.11,23527.11,
05,2,3,1,3,22750,0,22750,0,1390,1164,31364.22,34016.22,
03,1,3,3,2,31725,0,31725,0,400,4308,24502,32556,
04,1,1,3,1,45000,60000,105000,0,1190,700.36,79256.98,106656.98,
01,1,1,4,1,47000,57550,104550,0,1235,11230,52856,81088,
04,1,1,3,3,25875,35500,61375,0,736.28,1132,43376.36,58472.36,
04,1,1,3,1,98500,55500,159100,4500,695.42,5864.6,45697.71,88026.71,
01,2,2,4,2,19300,0,20200,0,120,6020,21304,22828,
06,1,1,4,3,38100,14500,52600,0,1785.13,1512,26712.95,30813.95,
06,1,1,3,3,26900,17500,44400,0,1330.24,336,27565.58,28765.58,
03,1,1,3,1,180000,48400,291450,3950,6508,21602.2,142531.08,220618.08,
03,1,1,3,2,110350,26000,156250,4050,0,2260.08,45815.16,81311.16,
02,1,3,3,1,33600,0,33600,6000,200,0,25238,32316,
03,1,1,4,1,110050,97475,207525,400,2855,10100,103338,159640,
03,2,1,4,2,125300,91000,216300,8050,6680,1210,81327.8,172324.8,
05,1,1,4,3,18900,12300,31200,0,870,1032,21925.3,23475.3,
02,2,1,3,1,96650,79675,176325,1300,30,9873,63029.08,115721.08,
04,2,1,3,3,22750,34275,57025,0,1140,18812,33854,38539,
06,1,1,3,3,21800,13175,34975,0,3870,1032,24802,25357,
05,2,3,2,1,40000,0,40000,0,400,732,9893,18709,
02,2,3,2,1,51500,0,51500,1815,3975,0,29876,37246,
03,2,1,3,2,23000,220650,324125,6500,4245,4982.33,81360.64,197377.64,
02,2,2,3,2,50600,0,111250,1410,0,4064,43025.05,60865.05,
05,2,1,4,2,42700,43250,85950,0,7593,9068,44327,60177,
02,2,1,3,1,80050,100350,242900,0,595,5242.82,82922.82,147949.82,
04,1,1,4,2,10350,64800,87325,31950,1560.18,5038,101295.5,116785.5,
06,1,1,1,2,33150,17000,63750,0,3011.25,200,73459.41,83426.41,
04,2,2,4,3,44400,0,44400,0,1695,1390,19317,28467,
05,1,3,2,3,51725,0,51725,0,1045.1,1620,19263.58,30633.58,
03,2,1,4,1,92275,110375,215700,0,1365,3860.51,56908.35,109626.35,
05,1,1,4,3,29500,1900,31400,0,438,868,15578,15823,
06,2,1,4,3,80275,70275,150550,0,1500,1044,23678.66,57090.95,
03,1,3,3,1,165050,0,165050,0,815,18332,62075,139834,
02,1,1,4,1,87500,88700,176200,100,1400.27,2584,59582.28,113610.28,
04,1,2,3,1,43050,0,43050,0,840,210,13196.21,22469.21,
05,2,1,1,3,40500,60250,100750,0,6090,600,43903.21,67971.21,
02,2,1,3,1,24000,52500,76500,0,250,2820,21328.95,39752.95,
03,2,3,4,2,10100,0,10100,1725,105,2033.09,22624.09,23175.09,
04,2,1,2,1,55000,54500,109500,0,3065,2883,27270,65424,
02,2,1,4,1,57500,77550,135050,700,6410,1710,48829,80904,
06,1,1,4,3,24500,26500,51000,150,2325,5210.94,35359.3,37259.3,
03,2,1,4,2,-6100,95225,89125,1000,700,4102,87126,108220,
05,2,3,1,2,26750,0,26750,0,180,72.04,26655.26,28553.26,
03,1,1,4,1,43400,105500,148900,5050,9520,5972,76304,123630,
04,2,1,4,3,800,56000,56800,0,0,4436,33437.2,45240.2,
03,1,1,4,1,100175,73800,173975,650,180,13573.26,71193.39,130667.39,
04,2,1,4,1,38000,46050,87575,13050,2920,620.65,74556.15,87842.15,
03,1,2,2,1,24675,0,24675,0,295,60,12433,16809,
02,2,1,4,3,3400,77550,80950,0,480,1410,37209.22,58798.22,
01,1,1,1,2,95000,2200,97200,0,4860.32,2140,60452.51,82736.51,
03,2,1,3,1,170675,106000,300850,12050,1080,6660,64467,173391,
01,1,2,3,1,48000,0,71650,9450.54,1065,2095,63728.54,77228.54,
05,2,1,1,3,7775,33175,63200,0,2315,649,17204,20130.51,
04,2,1,3,1,57500,54250,111750,0,2775,1144.91,25498.48,50781.48,
05,1,3,1,3,32050,0,32050,0,4148,0,28207.92,29107.92,
01,2,2,4,1,11550,0,34925,4650,782,1081,29847,31690,
02,1,1,3,1,23700,17850,41550,0,2195,300,73686,76124,
05,2,1,4,3,1900,77975,79875,250,1240.06,986.09,62926.92,91553.92,
06,2,1,3,3,13275,80600,93875,0,2881,2306,60075,81835,
01,1,1,3,1,42175,400,42575,0,605,0,21675,26291,
02,1,2,1,3,7250,0,26250,0,0,995,13606,13756,
04,1,1,4,1,58000,121500,179500,0,200,552,25030.3,65773.3,
02,2,1,2,1,32000,27000,59000,0,960,3976,62061,74905,
05,1,1,2,3,15500,11500,27000,0,1800,816,9932,15332,
03,2,2,4,1,77500,0,77500,0,895.4,824,27536.66,50779.66,
05,1,2,1,3,18000,0,18000,0,300,696,7228,7503,
04,2,1,2,3,500,78625,81925,0,1750.01,1208,25202.17,39177.17,
02,1,1,2,2,42500,20250,62750,0,2101.58,1380,37886.58,48221.58,
06,2,1,1,3,9625,22900,32525,0,745,1056,7680,7775,
05,1,1,2,2,59200,42500,101700,1500,4022,4745.12,56479.89,69952.89,
04,2,3,2,2,28500,0,28500,0,830,0,7687,13478,
04,1,2,1,2,30000,0,30000,0,235,0,12643,17176,
05,2,1,2,3,4200,44000,48200,0,3264,4072,20193.3,23193.3,
03,1,1,2,2,67500,32000,114275,6800,5175.2,1620,59333.36,83034.36,
02,1,2,2,1,82500,0,128900,0,3926.15,578.75,27788.97,67997.97,
03,1,1,2,2,86000,20550,106550,1500,1350,5925.6,72080.68,91783.68,
03,2,1,2,1,33000,37000,79800,0,1085.02,0,31361.05,49924.05,
02,1,1,9,1,105500,19075,124575,2500,1260,4465,62803.5,94661.5,
04,2,3,3,1,57900,0,57900,0,1320,1456,34816,47665,
03,1,3,3,2,53500,0,53500,0,150,2032,69308.13,74850.13,
04,1,1,4,1,79250,46000,125250,0,2515,860,34276,70766,
04,1,3,1,2,62775,0,62775,0,1265,1613,35147,45752,
